"No.","Time","Source","Destination","Protocol","Length","Info"
"13837","809.094919514","192.168.2.142","104.140.201.42","TCP","74","45746  >  5555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2522406329 TSecr=0 WS=128"
"13841","809.207567305","104.140.201.42","192.168.2.142","TCP","74","5555  >  45746 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3909931501 TSecr=2522406329 WS=128"
"13842","809.207653226","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2522406442 TSecr=3909931501"
"13843","809.207785516","192.168.2.142","104.140.201.42","TCP","562","45746  >  5555 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=496 TSval=2522406442 TSecr=3909931501"
"13844","809.322765792","104.140.201.42","192.168.2.142","TCP","66","5555  >  45746 [ACK] Seq=1 Ack=497 Win=30080 Len=0 TSval=3909931529 TSecr=2522406442"
"13848","809.323266940","104.140.201.42","192.168.2.142","TCP","557","5555  >  45746 [PSH, ACK] Seq=1 Ack=497 Win=30080 Len=491 TSval=3909931529 TSecr=2522406442"
"13849","809.323306834","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=497 Ack=492 Win=64128 Len=0 TSval=2522406557 TSecr=3909931529"
"14023","819.599645409","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=492 Ack=497 Win=30080 Len=420 TSval=3909934099 TSecr=2522406557"
"14024","819.599792382","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=497 Ack=912 Win=64128 Len=0 TSval=2522416834 TSecr=3909934099"
"14552","857.616068243","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=912 Ack=497 Win=30080 Len=420 TSval=3909943603 TSecr=2522416834"
"14553","857.616160941","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=497 Ack=1332 Win=64128 Len=0 TSval=2522454850 TSecr=3909943603"
"14576","859.286525045","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=1332 Ack=497 Win=30080 Len=420 TSval=3909944019 TSecr=2522454850"
"14578","859.286626346","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=497 Ack=1752 Win=64128 Len=0 TSval=2522456521 TSecr=3909944019"
"14966","881.076589599","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=1752 Ack=497 Win=30080 Len=420 TSval=3909949468 TSecr=2522456521"
"14967","881.076685177","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=497 Ack=2172 Win=64128 Len=0 TSval=2522478311 TSecr=3909949468"
"15798","919.387625592","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=2172 Ack=497 Win=30080 Len=420 TSval=3909959046 TSecr=2522478311"
"15799","919.387724639","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=497 Ack=2592 Win=64128 Len=0 TSval=2522516622 TSecr=3909959046"
"16511","959.734934142","192.168.2.142","104.140.201.42","TCP","299","45746  >  5555 [PSH, ACK] Seq=497 Ack=2592 Win=64128 Len=233 TSval=2522556969 TSecr=3909959046"
"16519","959.860463933","104.140.201.42","192.168.2.142","TCP","129","5555  >  45746 [PSH, ACK] Seq=2592 Ack=730 Win=31104 Len=63 TSval=3909969164 TSecr=2522556969"
"16520","959.860562826","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=730 Ack=2655 Win=64128 Len=0 TSval=2522557095 TSecr=3909969164"
"16611","966.563565501","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=2655 Ack=730 Win=31104 Len=420 TSval=3909970837 TSecr=2522557095"
"16612","966.563668996","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=730 Ack=3075 Win=64128 Len=0 TSval=2522563798 TSecr=3909970837"
"16827","979.471255331","104.140.201.42","192.168.2.142","TCP","486","5555  >  45746 [PSH, ACK] Seq=3075 Ack=730 Win=31104 Len=420 TSval=3909974067 TSecr=2522563798"
"16828","979.471343054","192.168.2.142","104.140.201.42","TCP","66","45746  >  5555 [ACK] Seq=730 Ack=3495 Win=64128 Len=0 TSval=2522576705 TSecr=3909974067"
